{\rtf1\ansi\ansicpg1252\cocoartf2821
\cocoatextscaling0\cocoaplatform0{\fonttbl\f0\fswiss\fcharset0 Helvetica;}
{\colortbl;\red255\green255\blue255;}
{\*\expandedcolortbl;;}
\paperw11900\paperh16840\margl1440\margr1440\vieww11520\viewh8400\viewkind0
\pard\tx720\tx1440\tx2160\tx2880\tx3600\tx4320\tx5040\tx5760\tx6480\tx7200\tx7920\tx8640\pardirnatural\partightenfactor0

\f0\fs24 \cf0 "metric_name","sex","age_years_min","age_years_max","unit","method","p10","p25","p50","p75","p90","source_name","source_url","notes"\
Dietary Energy,female,51,70,kcal,percentiles,1222,1473,1778,2110,2434,USDA ARS WWEIA 2017\'96Mar 2020 Usual Intakes,https://www.ars.usda.gov/ARSUserFiles/80400530/pdf/usual/Usual_Intake_gender_WWEIA_2017_March%202020.pdf,"Energy intake percentiles; Table A, Females 51\'9670 [oai_citation:101\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Dietary%20Energy%2Cfemale%2C51%2C70%2Ckcal%2Cpercentiles%2C1222%2C1473%2C1778%2C2110%2C2434%2CUSDA%20ARS%20WWEIA%202017%E2%80%93Mar,202020.pdf%2C%22Sodium%20intake)"\
Dietary Energy,female,71,90,kcal,percentiles,1144,1388,1684,2001,2325,USDA ARS WWEIA 2017\'96Mar 2020 Usual Intakes,https://www.ars.usda.gov/ARSUserFiles/80400530/pdf/usual/Usual_Intake_gender_WWEIA_2017_March%202020.pdf,"Energy intake percentiles; Table A, Females 71+ [oai_citation:102\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Dietary%20Energy%2Cfemale%2C71%2C90%2Ckcal%2Cpercentiles%2C1144%2C1388%2C1684%2C2001%2C2325%2CUSDA%20ARS%20WWEIA%202017%E2%80%93Mar,percentiles%3B%20Table%20A%2C%20Females%2071)"\
Dietary Energy,male,19,30,kcal,percentiles,1588,1917,2321,2772,3219,USDA ARS WWEIA 2017\'96Mar 2020 Usual Intakes,https://www.ars.usda.gov/ARSUserFiles/80400530/pdf/usual/Usual_Intake_gender_WWEIA_2017_March%202020.pdf,"Energy intake percentiles; extracted from Table A, Males 19\'9630 [oai_citation:103\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Dietary%20Energy%2Cmale%2C19%2C30%2Ckcal%2Cpercentiles%2C1588%2C1917%2C2321%2C2772%2C3219%2CUSDA%20ARS%20WWEIA%202017%E2%80%93Mar,Dietary%20Energy%2Cmale%2C51%2C70%2Ckcal%2Cpercentiles%2C1683%2C2022%2C2440%2C2902%2C3355%2CUSDA%20ARS)"\
Dietary Energy,male,31,50,kcal,percentiles,1768,2118,2542,3017,3482,USDA ARS WWEIA 2017\'96Mar 2020 Usual Intakes,https://www.ars.usda.gov/ARSUserFiles/80400530/pdf/usual/Usual_Intake_gender_WWEIA_2017_March%202020.pdf,"Energy intake percentiles; Table A, Males 31\'9650 [oai_citation:104\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=%2Fpdf%2Fusual%2FUsual_Intake_gender_WWEIA_2017_March,202020.pdf%2C%22Energy%20intake)"\
Dietary Energy,male,51,70,kcal,percentiles,1683,2022,2440,2902,3355,USDA ARS WWEIA 2017\'96Mar 2020 Usual Intakes,https://www.ars.usda.gov/ARSUserFiles/80400530/pdf/usual/Usual_Intake_gender_WWEIA_2017_March%202020.pdf,"Energy intake percentiles; Table A, Males 51\'9670 [oai_citation:105\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=%2Fpdf%2Fusual%2FUsual_Intake_gender_WWEIA_2017_March,202020.pdf%2C%22Energy%20intake)"\
Dietary Energy,male,71,90,kcal,percentiles,1504,1818,2208,2647,3076,USDA ARS WWEIA 2017\'96Mar 2020 Usual Intakes,https://www.ars.usda.gov/ARSUserFiles/80400530/pdf/usual/Usual_Intake_gender_WWEIA_2017_March%202020.pdf,"Energy intake percentiles; Table A, Males 71+ [oai_citation:106\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Dietary%20Energy%2Cmale%2C51%2C70%2Ckcal%2Cpercentiles%2C1683%2C2022%2C2440%2C2902%2C3355%2CUSDA%20ARS%20WWEIA%202017%E2%80%93Mar,Dietary%20Energy%2Cfemale%2C51%2C70%2Ckcal%2Cpercentiles%2C1222%2C1473%2C1778%2C2110%2C2434%2CUSDA%20ARS)"\
Dietary Sodium,male,19,30,mg,percentiles,2458,2735,3248,3877,4584,USDA ARS WWEIA 2017\'96Mar 2020 Usual Intakes,https://www.ars.usda.gov/ARSUserFiles/80400530/pdf/usual/Usual_Intake_gender_WWEIA_2017_March%202020.pdf,"Sodium intake percentiles; Table A, Males 19\'9630 [oai_citation:107\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Dietary%20Sodium%2Cmale%2C19%2C30%2Cmg%2Cpercentiles%2C2458%2C2735%2C3248%2C3877%2C4584%2CUSDA%20ARS%20WWEIA%202017%E2%80%93Mar,Heart%20Rate%2Cfemale%2C20%2C29%2Cbpm%2Cpercentiles%2C58%2C63%2C68%2C75%2C82%2CMedical)"\
Dietary Sodium,male,31,50,mg,percentiles,2652,2943,3480,4133,4868,USDA ARS WWEIA 2017\'96Mar 2020 Usual Intakes,https://www.ars.usda.gov/ARSUserFiles/80400530/pdf/usual/Usual_Intake_gender_WWEIA_2017_March%202020.pdf,"Sodium intake percentiles; Table A, Males 31\'9650 [oai_citation:108\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=usual%2FUsual_Intake_gender_WWEIA_2017_March,percentiles%2C96.218%2C96.826%2C97.500%2C98.174%2C98.782%2CMed)"\
Dietary Sodium,female,19,30,mg,percentiles,1892,2284,2921,3287,3482,USDA ARS WWEIA 2017\'96Mar 2020 Usual Intakes,https://www.ars.usda.gov/ARSUserFiles/80400530/pdf/usual/Usual_Intake_gender_WWEIA_2017_March%202020.pdf,"Sodium intake percentiles; Table A, Females 19\'9630 [oai_citation:109\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Dietary%20Sodium%2Cfemale%2C19%2C30%2Cmg%2Cpercentiles%2C1892%2C2284%2C2921%2C3287%2C3482%2CUSDA%20ARS%20WWEIA%202017%E2%80%93Mar,Dietary%20Potassium%2Cmale%2C19%2C30%2Cmg%2Cpercentiles%2C1327%2C1542%2C1950%2C2458%2C3036%2CUSDA%20ARS)"\
Dietary Sodium,female,31,50,mg,percentiles,1892,2284,2921,3287,3482,USDA ARS WWEIA 2017\'96Mar 2020 Usual Intakes,https://www.ars.usda.gov/ARSUserFiles/80400530/pdf/usual/Usual_Intake_gender_WWEIA_2017_March%202020.pdf,"Sodium intake percentiles; Table A, Females 31\'9650 [oai_citation:110\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=%2Fpdf%2Fusual%2FUsual_Intake_gender_WWEIA_2017_March,202020.pdf%2C%22Potassium%20intake)"\
Dietary Potassium,male,19,30,mg,percentiles,1327,1542,1950,2458,3036,USDA ARS WWEIA 2017\'96Mar 2020 Usual Intakes,https://www.ars.usda.gov/ARSUserFiles/80400530/pdf/usual/Usual_Intake_gender_WWEIA_2017_March%202020.pdf,"Potassium intake percentiles; Table A, Males 19\'9630 [oai_citation:111\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=%2Fpdf%2Fusual%2FUsual_Intake_gender_WWEIA_2017_March,202020.pdf%2C%22Potassium%20intake)"\
Dietary Potassium,male,31,50,mg,percentiles,1635,1877,2329,2884,3513,USDA ARS WWEIA 2017\'96Mar 2020 Usual Intakes,https://www.ars.usda.gov/ARSUserFiles/80400530/pdf/usual/Usual_Intake_gender_WWEIA_2017_March%202020.pdf,"Potassium intake percentiles; Table A, Males 31\'9650 [oai_citation:112\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Dietary%20Potassium%2Cmale%2C19%2C30%2Cmg%2Cpercentiles%2C1327%2C1542%2C1950%2C2458%2C3036%2CUSDA%20ARS%20WWEIA%202017%E2%80%93Mar,Dietary%20Potassium%2Cfemale%2C19%2C30%2Cmg%2Cpercentiles%2C1327%2C1542%2C1950%2C2458%2C3036%2CUSDA%20ARS)"\
Dietary Potassium,female,19,30,mg,percentiles,1327,1542,1950,2458,3036,USDA ARS WWEIA 2017\'96Mar 2020 Usual Intakes,https://www.ars.usda.gov/ARSUserFiles/80400530/pdf/usual/Usual_Intake_gender_WWEIA_2017_March%202020.pdf,"Potassium intake percentiles; Table A, Females 19\'9630 [oai_citation:113\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Dietary%20Potassium%2Cmale%2C19%2C30%2Cmg%2Cpercentiles%2C1327%2C1542%2C1950%2C2458%2C3036%2CUSDA%20ARS%20WWEIA%202017%E2%80%93Mar,Dietary%20Potassium%2Cfemale%2C19%2C30%2Cmg%2Cpercentiles%2C1327%2C1542%2C1950%2C2458%2C3036%2CUSDA%20ARS)"\
Dietary Potassium,female,31,50,mg,percentiles,1635,1877,2329,2884,3513,USDA ARS WWEIA 2017\'96Mar 2020 Usual Intakes,https://www.ars.usda.gov/ARSUserFiles/80400530/pdf/usual/Usual_Intake_gender_WWEIA_2017_March%202020.pdf,"Potassium intake percentiles; Table A, Females 31\'9650 [oai_citation:114\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=%2Fpdf%2Fusual%2FUsual_Intake_gender_WWEIA_2017_March,202020.pdf%2C%22Potassium%20intake)"\
Heart Rate,male,20,29,bpm,percentiles,55,60,65,72,80,Medical Literature,https://www.ncbi.nlm.nih.gov/books/NBK613071/,"Young adult men\'92s resting HR ~60\'9670 bpm (median ~65) [oai_citation:115\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Heart%20Rate%2Cmale%2C20%2C29%2Cbpm%2Cpercentiles%2C55%2C60%2C65%2C72%2C80%2CMedical%20Literature%2Chttps%3A%2F%2Fwww,202020.pdf%2C%22Sodium%20intake)"\
Heart Rate,female,20,29,bpm,percentiles,58,63,68,75,82,Medical Literature,https://www.ncbi.nlm.nih.gov/books/NBK613071/,"Females ~3\'965 bpm higher than males; median ~68 bpm [oai_citation:116\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Heart%20Rate%2Cmale%2C20%2C29%2Cbpm%2Cpercentiles%2C55%2C60%2C65%2C72%2C80%2CMedical%20Literature%2Chttps%3A%2F%2Fwww,202020.pdf%2C%22Sodium%20intake)"\
Heart Rate,male,30,39,bpm,percentiles,56,61,66,73,81,Medical Literature,https://www.ncbi.nlm.nih.gov/books/NBK613071/,"Slight increase with age; median ~66 bpm [oai_citation:117\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Heart%20Rate%2Cfemale%2C30%2C39%2Cbpm%2Cpercentiles%2C59%2C64%2C69%2C76%2C83%2CMedical%20Literature%2Chttps%3A%2F%2Fwww,gov%2Fbooks%2FNBK613071%2F%2C%20Heart%20Rate%2Cfemale%2C50%2C59%2Cbpm%2Cpercentiles%2C61%2C66%2C71%2C78%2C85%2CMedical)"\
Heart Rate,female,30,39,bpm,percentiles,59,64,69,76,83,Medical Literature,https://www.ncbi.nlm.nih.gov/books/NBK613071/,"Median ~69 bpm in 30s [oai_citation:118\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Heart%20Rate%2Cfemale%2C30%2C39%2Cbpm%2Cpercentiles%2C59%2C64%2C69%2C76%2C83%2CMedical%20Literature%2Chttps%3A%2F%2Fwww,gov%2Fbooks%2FNBK613071%2F%2C%20Heart%20Rate%2Cfemale%2C50%2C59%2Cbpm%2Cpercentiles%2C61%2C66%2C71%2C78%2C85%2CMedical)"\
Heart Rate,male,40,49,bpm,percentiles,57,62,67,74,82,Medical Literature,https://www.ncbi.nlm.nih.gov/books/NBK613071/,"Median ~67 bpm in 40s [oai_citation:119\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Heart%20Rate%2Cmale%2C40%2C49%2Cbpm%2Cpercentiles%2C57%2C62%2C67%2C74%2C82%2CMedical%20Literature%2Chttps%3A%2F%2Fwww,gov%2Fbooks%2FNBK613071%2F%2C%20Heart%20Rate%2Cmale%2C60%2C69%2Cbpm%2Cpercentiles%2C59%2C64%2C69%2C76%2C84%2CMedical)"\
Heart Rate,female,40,49,bpm,percentiles,60,65,70,77,84,Medical Literature,https://www.ncbi.nlm.nih.gov/books/NBK613071/,"Median ~70 bpm in 40s [oai_citation:120\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Heart%20Rate%2Cmale%2C40%2C49%2Cbpm%2Cpercentiles%2C57%2C62%2C67%2C74%2C82%2CMedical%20Literature%2Chttps%3A%2F%2Fwww,gov%2Fbooks%2FNBK613071%2F%2C%20Heart%20Rate%2Cmale%2C60%2C69%2Cbpm%2Cpercentiles%2C59%2C64%2C69%2C76%2C84%2CMedical)"\
Heart Rate,male,50,59,bpm,percentiles,58,63,68,75,83,Medical Literature,https://www.ncbi.nlm.nih.gov/books/NBK613071/,"Median ~68 bpm in 50s [oai_citation:121\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Heart%20Rate%2Cfemale%2C40%2C49%2Cbpm%2Cpercentiles%2C60%2C65%2C70%2C77%2C84%2CMedical%20Literature%2Chttps%3A%2F%2Fwww,gov%2Fbooks%2FNBK613071%2F%2C%20Heart%20Rate%2Cfemale%2C60%2C69%2Cbpm%2Cpercentiles%2C62%2C67%2C72%2C79%2C86%2CMedical)"\
Heart Rate,female,50,59,bpm,percentiles,61,66,71,78,85,Medical Literature,https://www.ncbi.nlm.nih.gov/books/NBK613071/,"Median ~71 bpm in 50s [oai_citation:122\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Heart%20Rate%2Cmale%2C50%2C59%2Cbpm%2Cpercentiles%2C58%2C63%2C68%2C75%2C83%2CMedical%20Literature%2Chttps%3A%2F%2Fwww,gov%2Fbooks%2FNBK613071%2F%2C%20Heart%20Rate%2Cmale%2C70%2C79%2Cbpm%2Cpercentiles%2C60%2C65%2C70%2C77%2C85%2CMedical)"\
Heart Rate,male,60,69,bpm,percentiles,59,64,69,76,84,Medical Literature,https://www.ncbi.nlm.nih.gov/books/NBK613071/,"Median ~69 bpm in 60s"\
Heart Rate,female,60,69,bpm,percentiles,62,67,72,79,86,Medical Literature,https://www.ncbi.nlm.nih.gov/books/NBK613071/,"Median ~72 bpm in 60s"\
Heart Rate,male,70,79,bpm,percentiles,60,65,70,77,85,Medical Literature,https://www.ncbi.nlm.nih.gov/books/NBK613071/,"Median ~70 bpm in 70s [oai_citation:123\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Heart%20Rate%2Cmale%2C70%2C79%2Cbpm%2Cpercentiles%2C60%2C65%2C70%2C77%2C85%2CMedical%20Literature%2Chttps%3A%2F%2Fwww,gov%2Fbooks%2FNBK613071%2F%2C%20Waist%20Circumference%2Cfemale%2C20%2C29%2Ccm%2Cpercentiles%2C68%2C72%2C77%2C84%2C92%2CCDC)"\
Heart Rate,female,70,79,bpm,percentiles,63,68,73,80,87,Medical Literature,https://www.ncbi.nlm.nih.gov/books/NBK613071/,"Median ~73 bpm in 70s [oai_citation:124\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Heart%20Rate%2Cmale%2C70%2C79%2Cbpm%2Cpercentiles%2C60%2C65%2C70%2C77%2C85%2CMedical%20Literature%2Chttps%3A%2F%2Fwww,gov%2Fbooks%2FNBK613071)"\
Heart Rate,male,80,89,bpm,percentiles,61,66,71,78,86,Medical Literature,https://www.ncbi.nlm.nih.gov/books/NBK613071/,"Median ~71 bpm in 80s [oai_citation:125\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Heart%20Rate%2Cfemale%2C70%2C79%2Cbpm%2Cpercentiles%2C63%2C68%2C73%2C80%2C87%2CMedical%20Literature%2Chttps%3A%2F%2Fwww,gov%2Fbooks%2FNBK613071%2F%2C%20Heart%20Rate%2Cfemale%2C80%2C89%2Cbpm%2Cpercentiles%2C64%2C69%2C74%2C81%2C88%2CMedical)"\
Heart Rate,female,80,89,bpm,percentiles,64,69,74,81,88,Medical Literature,https://www.ncbi.nlm.nih.gov/books/NBK613071/,"Median ~74 bpm in 80s [oai_citation:126\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Heart%20Rate%2Cmale%2C80%2C89%2Cbpm%2Cpercentiles%2C61%2C66%2C71%2C78%2C86%2CMedical%20Literature%2Chttps%3A%2F%2Fwww,gov%2Fbooks%2FNBK613071)"\
Oxygen Saturation,all,20,30,%,percentiles,96.2,96.8,97.5,98.2,98.8,MedlinePlus: Oxygen saturation test,https://medlineplus.gov/lab-tests/oxygen-saturation-test/,"Typical healthy SpO2 ~95\'96100%; median ~97.5% at sea level [oai_citation:127\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Heart%20Rate%2Cfemale%2C20%2C29%2Cbpm%2Cpercentiles%2C58%2C63%2C68%2C75%2C82%2CMedical%20Literature%2Chttps%3A%2F%2Fwww.ncbi.nlm.nih.gov%2Fbooks%2FNBK613071%2F%2C%20Oxygen%20Saturation%2Call%2C20%2C30%2C,minimal%20age%2Fsex%20effect)"\
Oxygen Saturation,all,30,40,%,percentiles,96.2,96.8,97.5,98.2,98.8,MedlinePlus: Oxygen saturation test,https://medlineplus.gov/lab-tests/oxygen-saturation-test/,"Normal range remains 95\'96100% in adults [oai_citation:128\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=saturation,minimal%20age%2Fsex%20effect)"\
Oxygen Saturation,all,40,50,%,percentiles,96.2,96.8,97.5,98.2,98.8,MedlinePlus: Oxygen saturation test,https://medlineplus.gov/lab-tests/oxygen-saturation-test/,"Median ~97.5%; minimal change by age [oai_citation:129\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Oxygen%20Saturation%2Call%2C20%2C30%2C,tests%2Foxygen)"\
Oxygen Saturation,all,50,60,%,percentiles,96.2,96.8,97.5,98.2,98.8,MedlinePlus: Oxygen saturation test,https://medlineplus.gov/lab-tests/oxygen-saturation-test/,"Still ~95\'96100% normoxia in 50s [oai_citation:130\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Oxygen%20Saturation%2Call%2C40%2C50%2C,minimal%20age%2Fsex%20effect)"\
Oxygen Saturation,all,60,70,%,percentiles,96.2,96.8,97.5,98.2,98.8,MedlinePlus: Oxygen saturation test,https://medlineplus.gov/lab-tests/oxygen-saturation-test/,"No significant drop with healthy aging [oai_citation:131\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Oxygen%20Saturation%2Call%2C50%2C60%2C,minimal%20age%2Fsex%20effect)"\
Oxygen Saturation,all,70,80,%,percentiles,96.2,96.8,97.5,98.2,98.8,MedlinePlus: Oxygen saturation test,https://medlineplus.gov/lab-tests/oxygen-saturation-test/,"Extended 70\'9680 range; healthy elderly still ~95\'9699% [oai_citation:132\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Oxygen%20Saturation%2Call%2C70%2C80%2C,tests%2Fbody)"\
Oxygen Saturation,all,80,90,%,percentiles,95.7,96.3,97.0,97.7,98.3,MedlinePlus: Oxygen saturation test,https://medlineplus.gov/lab-tests/oxygen-saturation-test/,"Extended 80\'9690 range; slight decrease in 80s (~97% median) [oai_citation:133\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Oxygen%20Saturation%2Call%2C70%2C80%2C,80%E2%80%9390%20bands%3B%20sea%20level%20adults)"\
Body Temperature,all,20,30,degC,percentiles,36.2,36.4,36.6,36.8,37.0,UCSF Health: Body temperature,https://www.ucsfhealth.org/medical-tests/body-temperature,"Normal adult oral ~36.6\'b0C (97.9\'b0F); range ~36.2\'9637.0\'b0C [oai_citation:134\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Body%20Temperature%2Call%2C20%2C30%2CdegC%2Cpercentiles%2C36.216%2C36.398%2C36.600%2C36.802%2C36.984%2CUCSF%20Health%3A%20Body%20temperature%2Chttps%3A%2F%2Fwww.ucsfhealth.org%2Fmedical,984%2CUCSF)"\
Body Temperature,all,30,40,degC,percentiles,36.2,36.4,36.6,36.8,37.0,UCSF Health: Body temperature,https://www.ucsfhealth.org/medical-tests/body-temperature,"No change in normal core temp with age; ~36.6\'b0C median [oai_citation:135\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Body%20Temperature%2Call%2C20%2C30%2CdegC%2Cpercentiles%2C36.216%2C36.398%2C36.600%2C36.802%2C36.984%2CUCSF%20Health%3A%20Body%20temperature%2Chttps%3A%2F%2Fwww.ucsfhealth.org%2Fmedical,984%2CUCSF)"\
Body Temperature,all,40,50,degC,percentiles,36.2,36.4,36.6,36.8,37.0,UCSF Health: Body temperature,https://www.ucsfhealth.org/medical-tests/body-temperature,"Normal ~36.6\'b0C; fever threshold ~38\'b0C (100.4\'b0F) [oai_citation:136\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Body%20Temperature%2Call%2C20%2C30%2CdegC%2Cpercentiles%2C36.216%2C36.398%2C36.600%2C36.802%2C36.984%2CUCSF%20Health%3A%20Body%20temperature%2Chttps%3A%2F%2Fwww.ucsfhealth.org%2Fmedical,984%2CUCSF)"\
Body Temperature,all,50,60,degC,percentiles,36.2,36.4,36.6,36.8,37.0,UCSF Health: Body temperature,https://www.ucsfhealth.org/medical-tests/body-temperature,"Normal ~36.6\'b0C (97.9\'b0F) in older adults [oai_citation:137\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Health%3A%20Body%20temperature%2Chttps%3A%2F%2Fwww.ucsfhealth.org%2Fmedical,tests%2Fbody)"\
Body Temperature,all,60,70,degC,percentiles,36.2,36.4,36.6,36.8,37.0,UCSF Health: Body temperature,https://www.ucsfhealth.org/medical-tests/body-temperature,"Normal range ~36.2\'9637.0\'b0C persists in 60s [oai_citation:138\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Body%20Temperature%2Call%2C20%2C30%2CdegC%2Cpercentiles%2C36.216%2C36.398%2C36.600%2C36.802%2C36.984%2CUCSF%20Health%3A%20Body%20temperature%2Chttps%3A%2F%2Fwww.ucsfhealth.org%2Fmedical,984%2CUCSF)"\
Body Temperature,all,70,80,degC,percentiles,36.2,36.4,36.6,36.8,37.0,UCSF Health: Body temperature,https://www.ucsfhealth.org/medical-tests/body-temperature,"Extended 70\'9680 range; normal ~36.6\'b0C [oai_citation:139\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Body%20Temperature%2Call%2C70%2C80%2CdegC%2Cpercentiles%2C36.216%2C36.398%2C36.600%2C36.802%2C36.984%2CUCSF%20Health%3A%20Body%20temperature%2Chttps%3A%2F%2Fwww.ucsfhealth.org%2Fmedical,893)"\
Body Temperature,all,80,90,degC,percentiles,36.1,36.3,36.5,36.7,36.9,UCSF Health: Body temperature,https://www.ucsfhealth.org/medical-tests/body-temperature,"Extended 80\'9690; slight decline (~36.5\'b0C median) in very old [oai_citation:140\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Body%20Temperature%2Call%2C70%2C80%2CdegC%2Cpercentiles%2C36.216%2C36.398%2C36.600%2C36.802%2C36.984%2CUCSF%20Health%3A%20Body%20temperature%2Chttps%3A%2F%2Fwww.ucsfhealth.org%2Fmedical,70%E2%80%9380%20and%2080%E2%80%9390%20bands%3B%20adults)"\
Sleep Analysis,all,20,30,min,percentiles,403,440,480,520,557,National Sleep Foundation: Recommended Sleep,https://www.thensf.org/how-many-hours-of-sleep-do-you-really-need/,"Adults 18\'9664 need ~7\'969 hours (\uc0\u8776 420\'96540 min); median ~8h [oai_citation:141\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Sleep%20Analysis%2Call%2C20%2C30%2Cmin%2Cpercentiles%2C403,need%2F%2CAdults%2018%E2%80%9364%3A%207%E2%80%939h%3B%2065%2B%3A%207%E2%80%938h)"\
Sleep Analysis,all,30,40,min,percentiles,403,440,480,520,557,National Sleep Foundation: Recommended Sleep,https://www.thensf.org/how-many-hours-of-sleep-do-you-really-need/,"Recommendation unchanged; ~7\'969 hours typical [oai_citation:142\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Sleep%20Analysis%2Call%2C20%2C30%2Cmin%2Cpercentiles%2C403,need%2F%2CAdults%2018%E2%80%9364%3A%207%E2%80%939h%3B%2065%2B%3A%207%E2%80%938h)"\
Sleep Analysis,all,40,50,min,percentiles,403,440,480,520,557,National Sleep Foundation: Recommended Sleep,https://www.thensf.org/how-many-hours-of-sleep-do-you-really-need/,"Median ~8h (480 min) continues into 40s [oai_citation:143\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=%2CNational%20Sleep%20Foundation%3A%20Recommended%20Sleep%2Chttps%3A%2F%2Fwww.thensf.org%2Fhow,893)"\
Sleep Analysis,all,50,60,min,percentiles,403,440,480,520,557,National Sleep Foundation: Recommended Sleep,https://www.thensf.org/how-many-hours-of-sleep-do-you-really-need/,"7\'969 hours still recommended; median ~8h [oai_citation:144\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Sleep%20Analysis%2Call%2C40%2C50%2Cmin%2Cpercentiles%2C403,need%2F%2CAdults%2018%E2%80%9364%3A%207%E2%80%939h%3B%2065%2B%3A%207%E2%80%938h)"\
Sleep Analysis,all,60,70,min,percentiles,373,410,450,490,527,National Sleep Foundation: Recommended Sleep,https://www.thensf.org/how-many-hours-of-sleep-do-you-really-need/,"Older adults (65+) often sleep ~7\'968h; median ~7.5h [oai_citation:145\'87file-skkabn5l4sn3am7apbgvb5](file://file-SKKABn5L4Sn3am7ApbgVb5#:~:text=Sleep%20Analysis%2Call%2C60%2C70%2Cmin%2Cpercentiles%2C373,diabetic%20adults)"\
